,question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
1360,rates for heavy carpark,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/25/2019 10:42,11/26/2019 15:52,1,Angeline Ng Li Ling,(STPC) Where can I find information on URA car park locations and parking charges?
1361,Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 10:47,11/26/2019 15:52,1,Angeline Ng Li Ling,General Information about URA
1362,Hi hi,General Information about URA,,General Information about URA,,No Feedback,11/25/2019 11:45,11/26/2019 15:51,1,Angeline Ng Li Ling,Catch all
1363,i have written to appeal on 19 November 2019 and the fine is due on 28112019,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/25/2019 11:46,11/26/2019 15:51,1,Angeline Ng Li Ling,What is a Temporary Written Permission?
1364,While waiting for the appeal response should i make payment first,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/25/2019 11:47,11/26/2019 15:51,1,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
1365,Temporary Transfer of Season Parking Ticket,Can I use the Season Parking Ticket (SPT) for another vehicle temporarily? Clicked Temporary Transfer,Top Match,Can I use the Season Parking Ticket (SPT) for another vehicle temporarily? Clicked Temporary Transfer,,No Feedback,11/25/2019 12:28,11/26/2019 15:51,1,Angeline Ng Li Ling,Car Parks-Season Parking-Transfer-Temporary Transfer
1366,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 13:24,11/26/2019 15:51,1,Angeline Ng Li Ling,General Information about URA
1367,Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 13:51,11/26/2019 15:51,1,Angeline Ng Li Ling,General Information about URA
1368,appeal for parking offence,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/25/2019 14:54,11/26/2019 15:50,1,Angeline Ng Li Ling,(Payment) When do I need to make payment for the notice of parking offence?
1369,season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/25/2019 15:30,11/26/2019 15:50,1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1370,apply for car season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/25/2019 15:30,11/26/2019 15:50,1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1371,how to be place on Q,(SPT) My application for a Season Parking Ticket (SPT) has been placed on the waitlist. When will the SPT be issued & how will I be notified?,Top Match,(SPT) My application for a Season Parking Ticket (SPT) has been placed on the waitlist. When will the SPT be issued & how will I be notified?,Car Parks,No Feedback,11/25/2019 15:31,11/26/2019 15:50,1,Angeline Ng Li Ling,General info on change of use
1372,how do i apply for season parking when the car park is full,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/25/2019 15:32,11/26/2019 15:50,1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1373,how to apply for car park that is not available,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/25/2019 15:32,11/26/2019 15:50,1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1374,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 15:30,11/26/2019 15:50,1,Angeline Ng Li Ling,General Information about URA
1375,bye,Thank you,Top Match,Thank you,,No Feedback,11/26/2019 11:04,11/26/2019 15:48,<1,Angeline Ng Li Ling,Thank you
1376,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/26/2019 11:04,11/26/2019 15:48,<1,Angeline Ng Li Ling,General Information about URA
1377,bye,Thank you,Top Match,Thank you,,No Feedback,11/26/2019 11:05,11/26/2019 15:48,<1,Angeline Ng Li Ling,Thank you
1378,thanks,Thank you,Top Match,Thank you,,No Feedback,11/26/2019 11:06,11/26/2019 15:48,<1,Angeline Ng Li Ling,(PON) What should I do if I wish to return unused / wrongly torn coupons?
1379,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/26/2019 11:40,11/26/2019 15:48,<1,Angeline Ng Li Ling,General Information about URA
1380,hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/26/2019 10:12,11/26/2019 15:48,<1,Angeline Ng Li Ling,General Information about URA
1381,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/26/2019 11:04,11/26/2019 15:48,<1,Angeline Ng Li Ling,General Information about URA
1382,Hi Jamie,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 16:08,11/26/2019 15:48,1,Angeline Ng Li Ling,General Information about URA
1383,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 16:16,11/26/2019 15:48,1,Angeline Ng Li Ling,General Information about URA
1384,hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 17:29,11/26/2019 15:48,1,Angeline Ng Li Ling,General Information about URA
1385,Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/25/2019 17:54,11/26/2019 15:48,1,Angeline Ng Li Ling,General Information about URA
1386,prorated season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/25/2019 16:20,11/26/2019 15:48,1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1387,hi I would like to apply for a season parking at amoy street food centre,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/25/2019 19:43,11/26/2019 15:48,1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1388,Hi we need to purchase season parking at First Lok Yang Road Lok Yang Way beside our construction Site please advise how to choose location,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/26/2019 10:37,11/26/2019 15:47,<1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1389,How to apply season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/26/2019 10:47,11/26/2019 15:47,<1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1390,apply car season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/26/2019 10:50,11/26/2019 15:47,<1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1391,Why i cannot find the car park for season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/26/2019 10:52,11/26/2019 15:47,<1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1392,I am the reserved lots holder If I need to hire more trailers from our logistics company can I use my reserved lots to apply for VPC for the hirer,General Info on Home Business,Top Match,How do I renew my Vehicle Parking Certificate (VPC) for my trailer?,Car Parks,No Feedback,11/26/2019 11:17,11/26/2019 15:46,<1,Angeline Ng Li Ling,(VPC) What is the balance quota of Vehicle Parking Certificate (VPC) for my company reserved lot account?
1393,Hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/26/2019 12:22,11/26/2019 15:45,<1,Angeline Ng Li Ling,General Information about URA
1394,Hi,General Information about URA,Top Match,General Information about URA,,No Feedback,11/26/2019 12:25,11/26/2019 15:45,<1,Angeline Ng Li Ling,General Information about URA
1395,Hi can I check the heavy vehicle place in the east area,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/26/2019 12:45,11/26/2019 15:45,<1,Angeline Ng Li Ling,Car Parks-Season Parking
1396,season parking after hours,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/26/2019 13:04,11/26/2019 15:45,<1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1397,season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,11/26/2019 13:05,11/26/2019 15:45,<1,Angeline Ng Li Ling,Car Parks-Season Parking-Apply
1398,hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/26/2019 13:27,11/26/2019 15:45,<1,Angeline Ng Li Ling,General Information about URA
1399,I just realize I provided wrong email for my appeal,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/26/2019 13:46,11/26/2019 15:44,<1,Angeline Ng Li Ling,General Information about URA
1400,can resend appeal outcome to the correct email address,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/26/2019 13:47,11/26/2019 15:44,<1,Angeline Ng Li Ling,General Information about URA
1401,hello,General Information about URA,Top Match,General Information about URA,,No Feedback,11/26/2019 14:10,11/26/2019 15:44,<1,Angeline Ng Li Ling,General Information about URA
1402,what is your email address ura carpark division,General Information about URA,Top Match,General Information about URA,,No Feedback,11/26/2019 15:18,11/26/2019 15:44,<1,Angeline Ng Li Ling,General Information about URA
1403,How to submit appeal for company,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Top Match,(APP) How do I submit an appeal for my parking offence or check its appeal status?,Car Parks,No Feedback,11/26/2019 11:15,11/26/2019 11:19,<1,Kan Yuan Jing,General info for feedback on e-Service errors
1404,can i hold season parking off for a month,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Suspend,,No Feedback,11/26/2019 8:55,11/26/2019 11:18,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
1405,can there be a break in season parking,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Suspend,,No Feedback,11/26/2019 8:55,11/26/2019 11:18,<1,Kan Yuan Jing,Car Parks-Season Parking-Apply
1406,height restriction,General info on buying and renovating private residential properties,Top Match,Catch all,,No Feedback,11/23/2019 14:32,11/25/2019 17:57,2,Oh Kie Hock,General info on buying and renovating private residential properties
1407,what is ess,Is planning permission required to construct a cover over my Private Enclosed Space (PES) / Roof Terrace / balcony?,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/23/2019 9:38,11/25/2019 17:57,2,Oh Kie Hock,
1408,What are illegal rental,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,11/23/2019 8:56,11/25/2019 17:56,2,Oh Kie Hock,General info on renting private residential property
1409,Bay shore new district development,General Info on URA SPACE map service,,Catch all,,No Feedback,11/23/2019 12:14,11/25/2019 17:56,2,Oh Kie Hock,General Info on URA SPACE map service
1410,Bayshore district development,General Info on URA SPACE map service,,Catch all,,No Feedback,11/23/2019 12:15,11/25/2019 17:56,2,Oh Kie Hock,General Info on URA SPACE map service
1411,am I choosing the right topic,Catch all,Top Match,Catch all,,No Feedback,11/23/2019 12:32,11/25/2019 17:56,2,Oh Kie Hock,Catch all
1412,for URA submission what are the version for BIM submission,Catch all,Top Match,Catch all,,No Feedback,11/23/2019 11:23,11/25/2019 17:56,2,Oh Kie Hock,Catch all
1413,can i find the area of a certain plot of land,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/23/2019 13:46,11/25/2019 17:56,2,Oh Kie Hock,General Info on URA SPACE map service
1414,New changes near redhill mrt,General Info on URA SPACE map service,,Catch all,,No Feedback,11/24/2019 6:26,11/25/2019 17:56,1,Oh Kie Hock,General info on change of use
1415,how big is the district,General Info on URA SPACE map service,Top Match,Catch all,,No Feedback,11/23/2019 21:02,11/25/2019 17:55,2,Oh Kie Hock,General Info on URA SPACE map service
1416,can 2 semi detached be combined back to be a bungalow,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/23/2019 16:11,11/25/2019 17:55,2,Oh Kie Hock,General info on buying and renovating private residential properties
1417,can semidetached be combined back to a bungalow,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,11/23/2019 16:11,11/25/2019 17:55,2,Oh Kie Hock,General info on buying and renovating private residential properties
1418,what is the area of the district,How can I obtain the approved plan for my property?,Top Match,Catch all,,No Feedback,11/23/2019 21:03,11/25/2019 17:55,2,Oh Kie Hock,General Info on URA SPACE map service
1419,how do I find out the allowable height for landed property,General info on buying and renovating private residential properties,Top Match,General Info on URA SPACE map service,,No Feedback,11/24/2019 17:33,11/25/2019 17:55,1,Oh Kie Hock,General info on buying and renovating private residential properties
1420,How to obtain a opy of sherwood towers plot size and ratio,How can I obtain the approved plan for my property?,Top Match,General Info on URA SPACE map service,,No Feedback,11/24/2019 22:14,11/25/2019 17:54,1,Oh Kie Hock,General info on Development Control guidelines and handbooks
1421,plot ratio,General Info on URA SPACE map service,Top Match,General Info on URA SPACE map service,,No Feedback,11/24/2019 23:18,11/25/2019 17:54,1,Oh Kie Hock,"What does ""Subject to Detailed Planning"" mean?"
