question_asked,answer_given,top_match,answer_taught,category,question_type,date_received,date_responded,response_time,processed_by,dialogflow_answers
URA contact number,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/6/2019 11:45,12/10/2019 10:18,4,Oh Kie Hock,Who can I speak to at URA?
Contact telephone number,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/6/2019 12:10,12/10/2019 10:17,4,Oh Kie Hock,Who can I speak to at URA?
contact ura,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/6/2019 13:46,12/10/2019 10:17,4,Oh Kie Hock,Who can I speak to at URA?
What is URAs email,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/6/2019 13:59,12/10/2019 10:17,4,Oh Kie Hock,Who can I speak to at URA?
Any number,General Information about URA,,Catch all,,No Feedback,12/6/2019 16:27,12/10/2019 10:16,4,Oh Kie Hock,Catch all
Contact,General Information about URA,Top Match,Catch all,,No Feedback,12/6/2019 16:55,12/10/2019 10:16,4,Oh Kie Hock,Who can I speak to at URA?
what is you technical helpline,General Information about URA,,Who can I speak to at URA?,,No Feedback,12/6/2019 15:09,12/10/2019 10:16,4,Oh Kie Hock,Who can I speak to at URA?
what is your hotline number,General Information about URA,Top Match,Who can I speak to at URA?,,No Feedback,12/6/2019 15:09,12/10/2019 10:16,4,Oh Kie Hock,Who can I speak to at URA?
check change of use application,How do I submit a change of use application?,Top Match,How do I submit a change of use application?,Development Control > Change of Use,No Feedback,12/6/2019 15:16,12/10/2019 10:16,4,Oh Kie Hock,General info on change of use
talk to human,General Information about URA,,Catch all,,No Feedback,12/6/2019 15:51,12/10/2019 10:16,4,Oh Kie Hock,Catch all
talk to agent,General Information about URA,,Catch all,,No Feedback,12/6/2019 15:51,12/10/2019 10:16,4,Oh Kie Hock,General Information about URA
epac,Catch all,Top Match,Catch all,,No Feedback,12/6/2019 16:07,12/10/2019 10:15,4,Oh Kie Hock,Catch all
Land Use Consultation,Catch all,Top Match,Catch all,,No Feedback,12/6/2019 16:07,12/10/2019 10:15,4,Oh Kie Hock,General information on planning process
How to access EPAC,General info for feedback on e-Service errors,,General info for feedback on e-Service errors,,No Feedback,12/6/2019 16:07,12/10/2019 10:15,4,Oh Kie Hock,General info for feedback on e-Service errors
WHAT THE MAXIMUM SITE AREA FOR FLAT,General info on Development Control guidelines and handbooks,Top Match,General info on Development Control guidelines and handbooks,,No Feedback,12/6/2019 16:25,12/10/2019 10:15,4,Oh Kie Hock,General info on Development Control guidelines and handbooks
Illegal partition,General info on reporting infringements,,General info on reporting infringements,,No Feedback,12/6/2019 16:49,12/10/2019 10:15,4,Oh Kie Hock,General info on reporting infringements
Would my identity be kept confidential when I make a report of occupancy breach,(ENF) How do I make a report when I see parking offences?,Top Match,General info on reporting infringements,,No Feedback,11/30/2019 17:04,12/9/2019 17:46,9,Benjamin Chow,General info on reporting infringements
report of illegal subletting and violation of occupancy cap,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,11/20/2019 13:08,12/9/2019 17:45,19,Benjamin Chow,General info on reporting infringements
when did the occupancy cap for private residential property took into effect,,,General info on renting private residential property,,No Feedback,11/19/2019 15:08,12/9/2019 17:45,20,Benjamin Chow,General info on renting private residential property
occupancy cap of six unrelated persons not allowed to stay in ALL TYPES OF RESIDENTIAL PROPERTIES,,,General info on renting private residential property,,No Feedback,11/25/2019 13:39,12/9/2019 17:45,14,Benjamin Chow,General info on renting private residential property
Breach of occupancy cap,General info on reporting infringements,Top Match,General info on reporting infringements,,No Feedback,12/6/2019 19:49,12/9/2019 17:39,3,Benjamin Chow,General info on reporting infringements
Can I rent my office to be used as a clinic,General info on change of use,Top Match,General info on change of use,,No Feedback,11/27/2019 18:54,12/9/2019 17:38,12,Benjamin Chow,General info on change of use
i would like to enquiry if rent the private landed house and change it into office purpoese,General info on change of use,Top Match,General info on change of use,,No Feedback,11/28/2019 13:04,12/9/2019 17:38,11,Benjamin Chow,General info on change of use
hi i want to rent a shop but I cannot sure its legitimate use Would you tell me how to check on website,General info on change of use,Top Match,General info on change of use,,No Feedback,11/29/2019 14:21,12/9/2019 17:38,10,Benjamin Chow,General info on change of use
commercial industrial space for rent,General info on change of use,Top Match,General info on change of use,,No Feedback,11/30/2019 2:09,12/9/2019 17:38,9,Benjamin Chow,General info on change of use
industrial space for rent,General info on change of use,Top Match,General info on change of use,,No Feedback,11/30/2019 2:09,12/9/2019 17:38,9,Benjamin Chow,General info on change of use
Can we have commercial activities in B2 Buildings such as rental of space for holding workshops,,,General info on change of use,,No Feedback,11/26/2019 23:14,12/9/2019 17:38,13,Benjamin Chow,General info on change of use
Sublet,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,11/28/2019 10:01,12/9/2019 17:38,11,Benjamin Chow,General info on renting private residential property
How do I find out the current approved use,General info on change of use,Top Match,General info on change of use,,No Feedback,11/29/2019 11:49,12/9/2019 17:37,10,Benjamin Chow,General info on change of use
renting,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/9/2019 16:57,12/9/2019 17:37,<1,Benjamin Chow,General info on renting private residential property
how much does renting the float costs,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/2/2019 13:40,12/9/2019 16:52,7,Benjamin Chow,General info on renting private residential property
I would like to feedback the no of parking lots available at Newton carpark is different from the electronic sign board indicated,Car Parks-Season Parking-Apply,Top Match,Car Parks-Season Parking-Apply,,No Feedback,12/4/2019 16:20,12/9/2019 16:52,5,Benjamin Chow,Car Parks-Season Parking-Apply
For private Apartmrnt including landlord How many people should stay in apartment,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/5/2019 16:00,12/9/2019 16:52,4,Benjamin Chow,General info on renting private residential property
For private Apartment how many people id allow to stay at premise including landlord,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/5/2019 16:22,12/9/2019 16:52,4,Benjamin Chow,General info on renting private residential property
sign tenancy agreement,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/6/2019 12:22,12/9/2019 16:52,3,Benjamin Chow,General info on renting private residential property
Is it legal for an apartment to partition its living room into a room,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/6/2019 16:27,12/9/2019 16:52,3,Benjamin Chow,General info on renting private residential property
I am a foreign worker who is going to work in Singapore is it legal that if I am staying in a shophouse i Singapore,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/6/2019 16:29,12/9/2019 16:52,3,Benjamin Chow,General info on renting private residential property
how much the rental cost for bayfront event space,"I'm interested to organise an event at Marina Bay, where can I find more information?",Top Match,"I'm interested to organise an event at Marina Bay, where can I find more information?",Place Management,No Feedback,12/6/2019 17:35,12/9/2019 16:52,3,Benjamin Chow,Car Parks-Season Parking-Apply
How do I submit case of overcrowding in private property in Singapore,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/6/2019 18:18,12/9/2019 16:52,3,Benjamin Chow,General info on renting private residential property
Exceed cap,General info on renting private residential property,,General info on renting private residential property,,No Feedback,12/6/2019 19:48,12/9/2019 16:52,3,Benjamin Chow,General info on renting private residential property
Fines for exceeding tenant cap,General info on renting private residential property,,General info on renting private residential property,,No Feedback,12/6/2019 19:48,12/9/2019 16:52,3,Benjamin Chow,General info on renting private residential property
Occupant cap,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/6/2019 19:49,12/9/2019 16:52,3,Benjamin Chow,General info on renting private residential property
Occupancy cap fine,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/6/2019 19:50,12/9/2019 16:52,3,Benjamin Chow,General info on renting private residential property
minimum lease period,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/6/2019 20:33,12/9/2019 16:52,3,Benjamin Chow,General info on renting private residential property
My house is capped at six Can I have visitors to come to stay for a few days,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/7/2019 17:34,12/9/2019 16:52,2,Benjamin Chow,General info on renting private residential property
Can a rented property accomdate 6 related persons and two unrelated persons,General info on renting private residential property,Top Match,General info on renting private residential property,,No Feedback,12/7/2019 18:00,12/9/2019 16:52,2,Benjamin Chow,General info on renting private residential property
